name,telecode,latitude,longitude,centrality_score,province,city,railway_bureau,station_type
海石湾,,36.341144,102.863708,50,甘肃,兰州,青藏铁路公司,客运站
海阳,,37.080592,120.992254,50,山东,烟台,济南铁路局,客运站
海龙,,42.65286,125.836381,50,吉林,通化,沈阳铁路局,客运站
涉县,,36.577166,113.661961,50,河北,邯郸,北京铁路局,客运站
涞源,,39.370571,114.70551,50,河北,保定,北京铁路局,客运站
涟源,,27.688157,111.670233,50,湖南,娄底,广铁集团,客运站
涡阳,,33.490534,116.234763,50,安徽,亳州,上海铁路局,客运站
涪陵,,29.703541,107.328996,50,重庆,涪陵区,成都铁路局,客运站
涪陵北,,29.770968,107.272305,50,重庆,涪陵区,成都铁路局,客运站
涵江,,25.494461,119.170902,50,福建,莆田,南昌铁路局,客运站
涿州,,39.480022,115.978147,50,河北,保定,北京铁路局,客运站
涿州东,,39.458408,116.046938,50,河北,保定,北京铁路局,客运站
淄博,,36.788775,118.051104,55,山东,淄博,济南铁路局,客运站
淮北,,33.968385,116.798367,100,安徽,淮北,上海铁路局,客运站
淮南,,32.632902,117.013995,50,安徽,淮南,上海铁路局,客运站
淮南东,,32.64811,117.14515,100,安徽,淮南,上海铁路局,客运站
淮安,,33.650154,119.027648,50,江苏,淮安,上海铁路局,客运站
淮滨,,32.502871,115.406425,55,河南,信阳,武汉铁路局,客运站
深井子,,41.784067,123.646679,50,辽宁,沈阳,沈阳铁路局,客运站
深圳,,22.534299,114.112069,100,广东,深圳,广铁集团,客运站
深圳东,,22.603841,114.113686,100,广东,深圳,广铁集团,客运站
深圳北,,22.611958,114.023922,100,广东,深圳,广铁集团,客运站
深圳坪山,,22.710511,114.321406,100,广东,深圳,广铁集团,客运站
深圳西,,22.531105,113.902647,100,广东,深圳,广铁集团,客运站
深州,,38.010924,115.607337,50,河北,衡水,北京铁路局,客运站
清华园,,39.981082,116.333229,50,北京,海淀区,北京铁路局,客运站
清原,,42.102218,124.930589,50,辽宁,抚顺,沈阳铁路局,客运站
清徐,,37.556683,112.307235,50,山西,太原,太原铁路局,客运站
清水,,39.35623,99.043159,50,甘肃,酒泉,兰州铁路局,客运站
清河,,40.040358,116.308941,50,北京,海淀区,北京铁路局,客运站
清河门,,41.77456,121.414353,50,辽宁,阜新,沈阳铁路局,客运站
清涧县,,37.166394,109.992754,50,陕西,榆林,西安铁路局,客运站
清远,,23.696526,113.12901,50,广东,清远,广铁集团,客运站
渑池,,34.754583,111.779834,50,河南,三门峡,郑州铁路局,客运站
渑池南,,34.686204,111.768268,50,河南,三门峡,郑州铁路局,客运站
渠县,,30.806857,107.008166,50,四川,达州,成都铁路局,客运站
渠旧,,22.517992,107.578499,50,广西壮族自治区,崇左,南宁铁路局,客运站
渠黎,,22.562782,107.795404,50,广西壮族自治区,崇左,南宁铁路局,客运站
温岭,,28.482108,121.320842,50,浙江,台州,上海铁路局,客运站
温州,,27.98344,120.681014,100,浙江,温州,上海铁路局,客运站
温州南,,27.969502,120.581081,100,浙江,温州,上海铁路局,客运站
温春,,44.433422,129.494128,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
渭南,,34.486148,109.488591,60,陕西,渭南,西安铁路局,客运站
渭南北,,34.537515,109.476327,50,陕西,渭南,西安铁路局,客运站
渭南南,,35.285178,110.051585,50,陕西,渭南,西安铁路局,客运站
渭南镇,,34.689566,105.633778,50,甘肃,天水,兰州铁路局,客运站
渭津,,42.791259,125.275874,50,吉林,辽源,沈阳铁路局,客运站
湖口,,29.731645,116.279758,50,江西,九江,南昌铁路局,客运站
湖州,,30.865561,120.018333,55,浙江,湖州,上海铁路局,客运站
湘乡,,27.74804,112.524006,50,湖南,湘潭,广铁集团,客运站
湘潭,,27.878751,112.907681,100,湖南,湘潭,广铁集团,客运站
湛江,,21.189448,110.385913,100,广东,湛江,南宁铁路局,客运站
湛江西,,21.218425,110.276244,100,广东,湛江,广铁集团,客运站
湟源,,36.748212,101.165165,50,青海,西宁,青藏铁路公司,客运站
溆浦,,27.930051,110.573237,50,湖南,怀化,广铁集团,客运站
源潭,,23.665004,113.196672,50,广东,清远,广铁集团,客运站
溧水,,31.681546,119.091109,50,江苏,南京,上海铁路局,客运站
溧阳,,31.388213,119.49796,60,江苏,常州,上海铁路局,客运站
滁州,,32.200054,118.315035,55,安徽,滁州,上海铁路局,客运站
滁州北,,32.309755,118.321692,50,安徽,滁州,上海铁路局,客运站
滕州,,35.081121,117.148109,50,山东,枣庄,济南铁路局,客运站
滕州东,,35.090649,117.251764,50,山东,枣庄,济南铁路局,客运站
满归,,52.03519,122.067387,60,内蒙古自治区,呼伦贝尔,哈尔滨铁路局,客运站
满洲里,,49.582663,117.442149,100,内蒙古自治区,呼伦贝尔,哈尔滨铁路局,客运站
滦县,,39.75649,118.700061,50,河北,唐山,北京铁路局,客运站
滦平,,40.921694,117.310041,50,河北,承德,北京铁路局,客运站
滦河,,39.855673,118.665592,50,河北,唐山,北京铁路局,客运站
滨江,,45.773899,126.650096,50,黑龙江,哈尔滨,哈尔滨铁路局,客运站
滨海,,39.080738,117.605595,100,天津,滨海新区,北京铁路局,客运站
滨海北,,39.235505,117.755277,50,天津,滨海新区,北京铁路局,客运站
